Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Y/A,Rec,Y/R,FantPos,FantPt,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year,Wonderlic,40�Yard,Bench Press,Vert Leap�(in),Broad Jump�(in),Shuttle,3Cone
2000,Daunte Culpepper,23,Ocala,FL,MIN,16,16,297,89,0,0,16,5.28,0,,QB,350,76,264,Central Florida,American,99,86,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Chris Johnson,24,Orlando,FL,TEN,16,16,0,358,503,2,0,5.6,50,10.06,RB,349,71,195,East Carolina,American,97,90,9/23/1985,1,2008,10,4.24,0,35,0,0,0
2012,Drew Brees,33,Austin,TX,NOR,16,16,422,15,0,0,19,0.33,0,,QB,346,73,0,Purdue,Big Ten,92,94,1/0/1900,2,2001,28,4.83,0,32,105,4.21,7.09
2011,Matthew Stafford,23,Tampa,FL,DET,16,16,421,22,0,0,16,3.55,0,,QB,345,74,230,Georgia,SEC,142,53,2/7/1988,1,2009,38,4.81,0,30.5,107,4.47,7.06
2003,Ahman Green,26,Omaha,NE,GNB,16,16,0,355,367,5,0,5.3,50,7.34,RB,345,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Aaron Rodgers,29,Chico,CA,GNB,16,16,371,54,-1,0,8,4.8,1,-1,QB,344,74,0,California,Pac 12,90,94,1/0/1900,1,2005,39,4.71,0,34.5,110,0,7.39
2003,LaDainian Tomlinson,24,Rosebud,TX,SDG,16,16,1,313,725,4,0,5.26,100,7.25,RB,344,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2001,Marshall Faulk,28,New Orleans,LA,STL,14,14,0,260,765,9,0,5.32,83,9.22,RB,343,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Jeff Garcia,30,Gilroy,CA,SFO,16,16,355,72,0,0,10,5.75,0,,QB,343,73,195,San Jose St.,Mountain West,72,107,2/24/1970,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Edgerrin James,22,Immokalee,FL,IND,16,16,0,387,594,5,0,4.42,63,9.43,RB,340,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
2012,Tom Brady,35,San Mateo,CA,NWE,16,16,401,23,0,0,8,1.39,0,,QB,340,76,0,Michigan,Big Ten,124,64,1/0/1900,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Larry Johnson,26,State College,PA,KAN,16,9,0,336,343,1,0,5.21,33,10.39,RB,335,73,228,Penn St.,Big Ten,15,68,11/19/1979,1,2003,0,4.55,19,0,0,0,0
2006,Larry Johnson,27,State College,PA,KAN,16,16,0,416,410,2,0,4.3,41,10,RB,334,73,228,Penn St.,Big Ten,15,68,11/19/1979,1,2003,0,4.55,19,0,0,0,0
2010,Arian Foster,24,San Diego,CA,HOU,16,13,0,327,604,2,0,4.94,66,9.15,RB,330,73,232,Tennessee,SEC,113,75,8/24/1986,0,0,0,4.68,23,0,0,0,0
1999,Kurt Warner,28,Burlington,IA,STL,16,16,325,23,0,0,13,4,0,,QB,329,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Steven Jackson,23,Las Vegas,NV,STL,16,16,0,346,806,3,0,4.42,90,8.96,RB,329,75,229,Oregon St.,Pac 12,111,76,7/22/1983,1,2004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Ricky Williams,25,Dallas,TX,MIA,16,16,0,383,363,1,0,4.84,47,7.72,RB,324,67,195,Texas Tech,Big 12,120,70,8/29/1978,0,0,0,4.47,32.5,32.5,110,0,0
2012,Cam Newton,23,College Park,GA,CAR,16,16,280,127,6,0,12,5.83,0,,QB,323,78,0,Auburn,SEC,130,61,1/0/1900,1,2011,21,4.56,0,35,126,4.18,6.92
2012,Robert Griffin,22,Okinawa,Japan,WAS,15,15,258,120,0,0,5,6.79,0,,QB,318,74,0,Baylor,Big 12,71,108,1/0/1900,1,2012,24,4.33,0,39,120,0,0
1999,Marshall Faulk,26,New Orleans,LA,STL,16,16,0,253,1048,5,0,5.46,87,12.05,RB,317,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,LaDainian Tomlinson,26,Rosebud,TX,SDG,16,16,3,339,370,2,0,4.31,51,7.25,RB,317,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
1999,Edgerrin James,21,Immokalee,FL,IND,16,16,0,369,586,4,0,4.21,62,9.45,RB,316,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
1999,Steve Beuerlein,34,Los Angeles,CA,CAR,16,16,343,27,0,0,15,4.59,0,,QB,316,75,220,Notre Dame,Independent,112,74,3/7/1965,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Michael Vick,30,Newport News,VA,PHI,12,12,233,100,0,0,6,6.76,0,,QB,316,73,0,Virginia Tech,ACC,147,50,6/26/1980,1,2001,20,4.33,0,38,0,0,0
2006,Peyton Manning,30,New Orleans,LA,IND,16,16,362,23,0,0,9,1.57,0,,QB,313,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Jamal Lewis,24,Atlanta,GA,BAL,16,16,0,387,205,0,0,5.34,26,7.88,RB,311,71,240,Tennessee,SEC,113,75,8/29/1979,1,2000,0,4.58,0,0,0,0,0
2012,Peyton Manning,36,New Orleans,LA,DEN,16,16,400,23,0,0,11,0.26,0,,QB,311,77,0,Tennessee,SEC,113,75,1/0/1900,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Rich Gannon,37,Philadelphia,PA,OAK,16,16,418,50,0,0,10,3.12,0,,QB,309,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,LaDainian Tomlinson,28,Rosebud,TX,SDG,16,16,1,315,475,3,0,4.68,60,7.92,RB,308,12,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Jamaal Charles,27,Port Arthur,TX,KAN,15,15,0,259,693,7,0,4.97,70,9.9,RB,308,73,200,Texas,Big 12,149,45,12/27/1986,3,2008,0,4.38,0,30.5,122,4.22,6.8
2004,Shaun Alexander,27,Florence,KY,SEA,16,16,0,353,170,4,0,4.8,23,7.39,RB,307,71,225,Alabama,SEC,114,58,8/30/1977,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Adrian Peterson,27,Palestine,TX,MIN,16,16,0,348,217,1,0,6.03,40,5.43,RB,307,74,217,Oklahoma,Big 12,160,39,3/21/1985,1,2007,16,4.4,0,38.5,127,4.4,7.09
2002,LaDainian Tomlinson,23,Rosebud,TX,SDG,16,16,0,372,489,1,0,4.52,79,6.19,RB,307,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2005,Tiki Barber,30,Roanoke,VA,NYG,16,16,0,357,530,2,0,5.21,54,9.81,RB,307,70,200,Virginia,ACC,90,95,4/7/1975,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Aaron Rodgers,27,Chico,CA,GNB,15,15,312,64,0,0,11,5.56,0,,QB,306,74,0,California,Pac 12,90,94,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Rich Gannon,35,Philadelphia,PA,OAK,16,16,284,89,0,0,11,5.94,0,,QB,306,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Drew Brees,30,Austin,TX,NOR,15,15,363,22,-4,0,11,1.5,1,-4,QB,306,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2012,Matt Ryan,27,Exton,PA,ATL,16,16,422,34,0,0,14,4.15,0,,QB,305,77,0,Boston Col.,ACC,116,74,1/0/1900,1,2008,32,4.89,0,0,0,4.51,7.4
2008,Drew Brees,29,Austin,TX,NOR,16,16,413,22,0,0,17,-0.05,0,,QB,305,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2001,Jeff Garcia,31,Gilroy,CA,SFO,16,16,316,72,0,0,12,3.53,0,,QB,305,73,195,San Jose St.,Mountain West,72,107,2/24/1970,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Daunte Culpepper,25,Ocala,FL,MIN,16,16,333,106,0,0,23,5.75,0,,QB,303,76,264,Central Florida,American,99,86,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2004,Donovan McNabb,28,Chicago,IL,PHI,15,15,300,41,0,0,8,5.37,0,,QB,303,74,240,Syracuse,ACC,81,101,11/25/1976,1,1999,14,4.64,0,33,117,4.38,7.3
2010,Tom Brady,33,San Mateo,CA,NWE,16,16,324,31,0,0,4,0.97,0,,QB,301,76,0,Michigan,Big Ten,124,64,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2001,Kurt Warner,30,Burlington,IA,STL,16,16,375,28,0,0,22,2.14,0,,QB,301,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Ray Rice,24,New Rochelle,NY,BAL,16,16,1,291,704,3,0,4.69,76,9.26,RB,301,69,195,Rutgers,Big Ten,87,96,1/22/1987,2,2008,0,4.42,23,31.5,119,4.2,6.65
2000,Peyton Manning,24,New Orleans,LA,IND,16,16,357,37,0,0,15,3.14,0,,QB,300,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Tiki Barber,29,Roanoke,VA,NYG,16,14,0,322,578,2,0,4.71,52,11.12,RB,300,70,200,Virginia,ACC,90,95,4/7/1975,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Tony Romo,27,San Diego,CA,DAL,16,16,335,31,0,0,19,4.16,0,,QB,299,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
2013,Cam Newton,24,College Park,GA,CAR,16,16,292,111,0,0,13,5.27,0,,QB,298,78,260,Auburn,SEC,130,61,5/11/1989,1,2011,21,4.56,0,35,126,4.18,6.92
2008,Aaron Rodgers,25,Chico,CA,GNB,16,16,341,56,0,0,13,3.7,0,,QB,296,74,0,California,Pac 12,90,94,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Donovan McNabb,24,Chicago,IL,PHI,16,16,330,86,5,0,13,7.31,2,2.5,QB,294,74,240,Syracuse,ACC,81,101,11/25/1976,1,1999,14,4.64,33,33,117,4.38,7.3
2013,Andrew Luck,24,Washington,DC,IND,16,16,343,63,0,0,9,5.98,0,,QB,293,75,235,Stanford,Pac 12,101,81,9/12/1989,1,2012,37,4.59,0,36,124,4.28,6.8
2002,Michael Vick,22,Newport News,VA,ATL,15,15,231,113,16,0,8,6.88,0,,QB,293,73,215,Virginia Tech,ACC,147,50,6/26/1980,1,2001,20,4.33,38,38,0,0,0
2000,Eddie George,27,Philadelphia,PA,TEN,16,16,0,403,453,2,0,3.74,50,9.06,RB,292,75,235,Ohio St.,Big Ten,138,41,9/24/1973,1,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Philip Rivers,29,Decatur,AL,SDG,16,16,357,29,0,0,13,1.79,0,,QB,290,77,0,North Carolina St.,ACC,98,88,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2009,Adrian Peterson,24,Palestine,TX,MIN,16,15,0,314,436,0,0,4.4,43,10.14,RB,290,70,210,Oklahoma,Big 12,160,39,3/21/1985,1,2007,16,4.4,0,38.5,127,4.4,7.09
2002,Clinton Portis,21,Laurel,MS,DEN,16,12,0,273,364,2,0,5.52,33,11.03,RB,289,71,205,Miami (FL),ACC,130,58,9/1/1981,2,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Eli Manning,30,New Orleans,LA,NYG,16,16,359,35,0,0,16,0.43,0,,QB,289,76,218,Mississippi,SEC,92,91,1/3/1981,1,2004,39,4.9,0,0,0,0,0
2010,Peyton Manning,34,New Orleans,LA,IND,16,16,450,18,0,0,17,1,0,,QB,288,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Randy Moss,30,Rand,WV,NWE,16,16,0,0,1493,23,0,,98,15.23,WR,287,76,215,Marshall,Conference USA,107,80,2/13/1977,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Philip Rivers,32,Decatur,AL,SDG,16,16,378,28,-9,0,11,2.57,0,,QB,287,77,228,North Carolina St.,ACC,98,88,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2008,Philip Rivers,27,Decatur,AL,SDG,16,16,312,31,0,0,11,2.71,0,,QB,287,77,0,North Carolina St.,ACC,98,88,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2009,Brett Favre,40,Gulfport,MS,MIN,16,16,363,9,-2,0,7,0.78,1,-2,QB,287,74,0,Southern Miss,Conference USA,104,85,10/10/1969,2,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,LaDainian Tomlinson,25,Rosebud,TX,SDG,15,15,1,339,441,1,0,3.94,53,8.32,RB,287,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2008,DeAngelo Williams,25,Little Rock,AR,CAR,16,16,0,273,121,2,0,5.55,22,5.5,RB,286,68,210,Memphis,American,68,112,4/25/1983,1,2006,0,4.49,25,35.5,0,0,0
2013,Andy Dalton,26,0,,CIN,16,16,363,61,0,0,20,3,0,,QB,286,74,215,TCU,Big 12,138,49,1/0/1900,2,2011,29,4.83,0,29.5,106,4.27,6.93
2003,Daunte Culpepper,26,Ocala,FL,MIN,14,14,295,73,0,0,11,5.78,0,,QB,285,76,0,Central Florida,American,99,86,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Matt Schaub,28,West Chester,PA,HOU,16,16,396,48,0,0,15,1.19,0,,QB,285,77,0,Virginia,ACC,90,95,6/25/1981,3,2004,30,5.04,0,30.5,110,4.66,7.65
2011,Tony Romo,31,San Diego,CA,DAL,16,16,346,22,0,0,10,2.09,0,,QB,282,74,219,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
2009,Tony Romo,29,San Diego,CA,DAL,16,16,347,35,0,0,9,3,0,,QB,282,74,0,East. Illinois,Ohio Valley,#N/A,#N/A,4/21/1980,0,0,30,5.01,0,30,105,4.2,7.11
2011,LeSean McCoy,23,Harrisburg,PA,PHI,15,15,0,273,315,3,0,4.79,48,6.56,RB,282,12,215,Pittsburgh,ACC,106,80,7/12/1988,2,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Brian Westbrook,28,Washington,DC,PHI,15,15,0,278,771,5,0,4.79,90,8.57,RB,282,68,200,Villanova,Big East,#N/A,#N/A,9/2/1979,3,2002,0,4.57,26,37,118,0,7.09
2008,Jay Cutler,25,Santa Claus,IN,DEN,16,16,384,57,0,0,18,3.51,0,,QB,281,75,0,Vanderbilt,SEC,65,114,4/29/1983,1,2006,26,4.77,0,0,0,4.31,7.12
2001,Rich Gannon,36,Philadelphia,PA,OAK,16,16,361,63,0,0,9,3.67,0,,QB,280,75,210,Delaware,Colonial Athletic Association,#N/A,#N/A,12/20/1965,4,1987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Matt Ryan,26,Exton,PA,ATL,16,16,347,37,0,0,12,2.27,0,,QB,279,77,224,Boston Col.,ACC,116,74,5/17/1985,1,2008,32,4.89,0,0,0,4.51,7.4
2012,Tony Romo,32,San Diego,CA,DAL,16,16,425,30,-1,0,19,1.63,1,-1,QB,279,74,0,East. Illinois,Ohio Valley,#N/A,#N/A,1/0/1900,0,0,30,5.01,0,30,105,4.2,7.11
2013,Matthew Stafford,25,Tampa,FL,DET,16,16,371,37,0,0,19,1.86,0,,QB,279,74,230,Georgia,SEC,142,53,2/7/1988,1,2009,38,4.81,0,30.5,107,4.47,7.06
2013,LeSean McCoy,25,Harrisburg,PA,PHI,16,16,0,314,539,2,0,5.12,52,10.37,RB,279,70,215,Pittsburgh,ACC,106,80,7/12/1988,2,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Peyton Manning,33,New Orleans,LA,IND,16,16,393,19,0,0,16,-0.68,0,,QB,279,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Curtis Martin,31,Pittsburgh,PA,NYJ,16,16,0,371,245,2,0,4.57,41,5.98,RB,278,71,210,Pittsburgh,ACC,106,80,5/1/1973,3,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Russell Wilson,24,Richmond,VA,SEA,16,16,252,94,0,0,10,5.2,0,,QB,278,71,0,Wisconsin,Big Ten,135,60,1/0/1900,3,0,28,4.53,0,34,118,4.09,6.97
2003,Clinton Portis,22,Laurel,MS,DEN,13,13,0,290,314,0,0,5.49,38,8.26,RB,277,71,205,Miami (FL),ACC,130,58,9/1/1981,2,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Kurt Warner,37,Burlington,IA,ARI,16,16,401,18,0,0,14,-0.11,0,,QB,277,74,0,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Peyton Manning,31,New Orleans,LA,IND,16,16,337,20,0,0,14,-0.25,0,,QB,277,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Priest Holmes,28,Fort Smith,AR,KAN,16,16,0,327,614,2,0,4.76,62,9.9,RB,277,69,213,Texas,Big 12,149,45,10/7/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Matthew Stafford,24,Tampa,FL,DET,16,16,435,35,3,0,17,3.6,1,3,QB,276,74,0,Georgia,SEC,142,53,1/0/1900,1,2009,38,4.81,0,30.5,107,4.47,7.06
2008,Michael Turner,26,Waukegan,IL,ATL,16,16,0,376,41,0,0,4.52,6,6.83,RB,276,70,237,Northern Illinois,MAC,119,69,2/13/1982,5,2004,0,4.49,22,31,114,4.21,7.54
2012,Andrew Luck,23,Washington,DC,IND,16,16,339,62,0,0,18,4.11,0,,QB,276,75,0,Stanford,Pac 12,101,81,1/0/1900,1,2012,37,4.59,0,36,124,4.28,6.8
2009,Philip Rivers,28,Decatur,AL,SDG,16,16,317,26,0,0,9,1.92,0,,QB,275,77,0,North Carolina St.,ACC,98,88,12/8/1981,1,2004,30,5.08,0,0,0,0,0
2009,Tom Brady,32,San Mateo,CA,NWE,16,16,371,29,0,0,13,1.52,0,,QB,274,76,0,Michigan,Big Ten,124,64,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2009,Ben Roethlisberger,27,Findlay,OH,PIT,15,15,337,40,0,0,12,2.05,0,,QB,273,77,0,Miami (OH),MAC,84,99,3/2/1982,1,2004,25,4.75,0,0,0,0,0
2010,Drew Brees,31,Austin,TX,NOR,16,16,448,18,7,0,22,-0.17,1,7,QB,273,73,0,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2009,Maurice Jones-Drew,24,Pinole,CA,JAX,16,16,0,312,374,1,0,4.46,53,7.06,RB,273,68,205,UCLA,Pac 12,100,88,3/23/1985,2,2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Shaun Alexander,25,Florence,KY,SEA,16,16,0,295,460,2,0,3.98,59,7.8,RB,272,71,225,Alabama,SEC,114,58,8/30/1977,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Frank Gore,23,Coral Gables,FL,SFO,16,16,0,312,485,1,0,5.43,61,7.95,RB,272,69,215,Miami (FL),ACC,130,58,5/14/1983,3,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Steve McNair,28,Mount Olive,MS,TEN,15,15,264,75,0,0,12,5.52,0,,QB,271,74,235,Alcorn St.,SWAC,#N/A,#N/A,2/14/1973,1,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Peyton Manning,27,New Orleans,LA,IND,16,16,379,28,-2,0,10,0.93,1,-2,QB,271,77,0,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Deuce McAllister,24,Lena,MS,NOR,15,15,0,325,352,3,0,4.27,47,7.49,RB,270,73,232,Mississippi,SEC,92,91,12/27/1978,1,2001,0,4.41,37.5,37.5,0,0,0
2005,Carson Palmer,26,Fresno,CA,CIN,16,16,345,34,0,0,12,1.21,0,,QB,270,77,0,USC,Pac 12,129,49,12/27/1979,1,2003,26,4.65,0,0,0,0,0
2003,Shaun Alexander,26,Florence,KY,SEA,16,15,0,326,295,2,0,4.4,42,7.02,RB,269,71,225,Alabama,SEC,114,58,8/30/1977,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Peyton Manning,26,New Orleans,LA,IND,16,16,392,38,0,0,19,3.89,0,,QB,269,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Michael Vick,26,Newport News,VA,ATL,16,16,204,123,1,0,13,8.45,1,1,QB,269,73,0,Virginia Tech,ACC,147,50,6/26/1980,1,2001,20,4.33,0,38,0,0,0
2004,Trent Green,34,Cedar Rapids,IA,KAN,16,16,369,25,0,0,17,3.4,0,,QB,268,75,217,Indiana,Big Ten,58,118,7/9/1970,8,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Edgerrin James,27,Immokalee,FL,IND,15,15,0,360,337,1,0,4.18,44,7.66,RB,268,73,214,Miami (FL),ACC,130,58,8/1/1978,1,1999,0,4.38,0,0,0,3.88,6.87
2000,Elvis Grbac,30,Cleveland,OH,KAN,15,15,326,30,0,0,14,3.67,0,,QB,268,77,232,Michigan,Big Ten,124,64,8/13/1970,0,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Willie Parker,26,Clinton,NC,PIT,16,16,0,337,222,3,0,4.43,31,7.16,RB,268,70,209,North Carolina,ACC,70,97,11/11/1980,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Brett Favre,32,Gulfport,MS,GNB,16,16,314,38,0,0,15,1.47,0,,QB,268,74,225,Southern Miss,Conference USA,104,85,10/10/1969,2,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Russell Wilson,25,Richmond,VA,SEA,16,16,257,96,0,0,9,5.61,0,,QB,268,71,203,Wisconsin,Big Ten,135,60,11/29/1988,3,2012,28,4.53,0,34,118,4.09,6.97
2003,Randy Moss,26,Rand,WV,MIN,16,16,0,6,1632,17,0,3,111,14.7,WR,267,76,215,Marshall,Conference USA,107,80,2/13/1977,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
